slug,month,avg_high_f,avg_low_f,wet_days,source
marlette-lake-ca,9,69,49,3,"Open-Meteo ERA5 historical, 2015-2024"
marlette-lake-ca,10,58,39,4,"Open-Meteo ERA5 historical, 2015-2024"
marlette-lake-ca,11,44,29,8,"Open-Meteo ERA5 historical, 2015-2024"
marlette-lake-ca,12,36,23,11,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,1,17,1,13,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,2,18,2,14,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,3,24,7,15,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,4,31,12,13,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,5,39,20,15,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,6,51,29,9,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,7,58,37,17,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,8,57,36,14,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,9,51,30,10,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,10,38,18,9,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,11,25,5,10,"Open-Meteo ERA5 historical, 2015-2024"
maroon-bells-crater-lake-co,12,18,0,12,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,1,35,22,7,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,2,35,21,6,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,3,38,24,9,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,4,48,31,5,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,5,56,39,9,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,6,70,52,5,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,7,74,57,11,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,8,72,55,9,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,9,66,49,6,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,10,56,40,4,"Open-Meteo ERA5 historical, 2015-2024"
mary-jane-falls-nv,11,45,30,3,"Open-Meteo ERA5 historical, 2015-2024"
